Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XXXI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e Specksynder, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XXXII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e cabin-table, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XXXIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e mast-head, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XXXIV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e quarter-deck, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XXXV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Sunset, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XXXVI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Dusk, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XXXVII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: First night-watch, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XXXVIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Midnight, forecastle, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XXXIX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Moby Dick, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XL., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e whiteness of the whale, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: ii, Font: AGaramondPro-Regular, Size: 10.909000396728516
Text: XLI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Hark!, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XLII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e Chart, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XLIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e aﬃdavit, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XLIV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Surmises, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XLV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e mat-maker, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XLVI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e hyena, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XLVII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Ahab’s boat and crew. Fedallah, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XLVIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e spirit-spout, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: XLIX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e albatross, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: L., Font: AGaramondPro-Bold, Size: 10.909000396728516
